name,price,minimum_nights,availability_365
The Institute—Heart of Williamsburg,249,2,164
MIDTOWN WEST - Large alcove studio,105,6,363
Beautiful Uptown Manhattan apartmnt,200,30,365
Sml Rm in pr Brst  Park Sl great for Med/students,100,2,250
City Room - Private Penthouse Apt.,121,1,247
Cozy bedroom by Yankee Stadium,45,1,323
Great apartment with private bathroom and entrance,100,5,192
Private Garden Apt • New Renovation,140,2,125
Modern comfort in art infused landmark Brownstone,71,2,91
"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",130,2,75
Sleek & Comfortable Soho Apt,199,5,286
Spacious Williamsburg Share w/ LOFT BED,69,4,60
Cozy 2 br in sunny Fort Greene apt,68,3,0
Cozy East Village Railroad 1 Bed!,130,1,192
1 Bedroom Loft w/ Private Roof Deck,195,2,58
City Room - Private & Comfy Bedroom,64,1,245
Elegant NYC Pad,140,2,292
"Clean & bright 1BR in Cobble Hill, GREAT location!",159,2,279
"Modern, Large East Village Loft",189,3,0
"Great new apt, close to everything",250,3,3
Quiet & Clean Retreat in the City,239,3,351
Stylish Large Gramercy Loft!,305,2,201
The Brownstone-Luxury 1 Bd Apt/NYC,155,3,232
PRIVATE Room on Historic Sugar Hill,60,1,258
South Slope Green,135,2,272
"17 Flr. Manhattan Views, Nr. Subway",120,7,341
"Spacious 1BR, Adorable Clean Quiet",150,3,244
"Nice, clean, safe, convenient 3BR",140,14,365
Franklin St Flat in Trendy Greenpoint Brooklyn,135,2,12
"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",250,4,265
One bedroom Apt. in NYC,250,30,0
"Beautiful, elegant 3 bed SOHO loft",500,4,329
Spacious Greenwich Village Apt,225,5,91
SpaHa Studio Monthly Rental,125,28,365
City Room - Private Luxury Suite,92,1,253
Private Room/bath Luxurious Harlem,175,2,365
The gem of the East Village,99,2,320
"Bright and spacious, garden below!",195,4,0
ACCOMMODATIONS GALORE #2,140,3,192
Colorful Private One Bedroom Apt,135,2,0
Huge Chelsea Loft,500,2,348
Great room in great location,80,14,0
Exclusive Room with Private Bath in  LES,120,4,353
"Quiet, clean midtown apt w. elevato",110,200,140
BK Sweet Suite w/Kitchen&FullBath,65,3,2
Great East Village Apartment Rental,130,50,56
BROWNSTONE SUNDRENCHED BEAUTY,99,3,68
A SpeciaL!! Private Room in NY,36,2,360
B NYC Staten Alternative...,37,2,0
C Private Room By The Ferry,37,2,320
Smallest House In The Village,175,3,326
Beautiful modern studio apartment in heart of NYC,205,9,76
Beautiful Landmarked Duplex,285,3,279
BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,59,2,15
D Private Che@p Room 2 Explore NYC,36,2,340
Safe cute near subway& Manhattan NY NY retro style,99,5,226
Large and Cozy Private Bedroom,39,1,365
Small tidy bedroom in duplex,60,14,0
LL3,90,2,349
DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,105,2,365
"Private, Large & Sunny Top Floor Apt  w/W&D",135,2,11
Cottage in the Village,390,5,316
BEDROOM1 FOR RENT 10min from Manhan,70,3,281
"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",75,7,323
Williamsburg near soho. / loftbed,60,17,362
Prime East Village 1 Bedroom,200,3,0
BROOKLYN  STUDIO APARTMENT,100,3,301
BEDROOM2 FOR RENT  10min from Manh,70,4,189
cozy bedroom in lovely garden apt,110,6,0
Crown Heights Garden Apt.,60,2,287
Amazing  Sunny & Breezy Home In the Heart of  NYC,90,14,14
ENJOY Downtown NYC!!,68,2,86
Charming UWS Treehouse Apt,115,2,261
Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,75,5,68
"Room in S3rd/Bedford, Williamsburg",60,3,0
CHARMING EAST VILLAGE 2 (or 1) BR,129,7,231
Farmhouse Apartment in Williamsburg,130,10,152
Bright+Spacious Williamsburg Abode!,95,4,46
"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",75,3,364
Beautiful 1 Bedroom Apt Park Slope,175,2,246
CHARMING CARROLL GARDENS APT.,190,3,288
Private Bedroom Brownstone Brooklyn,49,21,331
East Village Loft with Piano & Patio,212,3,51
Lower East Side Magic Room,95,1,364
**Fantastic Williamsburg Apt**,140,2,254
West Harlem Home Base - Eco-Apt.,135,6,189
Charming Garden Apt in Park Slope,150,2,263
"Lovely, Modern, Garden Apartment",190,3,258
Central Park 1BR sunny condo,124,28,103
Cozy Garden Apartment  in Williamsburg,135,30,42
SoHa comfort-by NW Central Park!,122,3,246
Cozy room in Upper West Side,109,1,364
Cozy Private Room in Apartment,85,30,318
The Cozy Brownstone Inn (discount)!,145,3,72
Prewar Penthouse w Private Terrace,195,11,249
Designer 2.5 BR Loft in Carroll Gardens by Subway,250,2,272
Bright Beautiful Brooklyn,125,3,325
Unique spacious loft on the Bowery,575,2,298
"Nice renovated apt, prime location!",150,30,35
Brooklyn Writer's Nook,70,5,203
Private Bedroom in Large NYC Apartment,90,2,132
"Large, Sunny Room East Village NYC",65,3,5
Great Large 3 BR/2 Bath Duplex with Private Patio!,500,2,297
All That Jazz. Uptown style on Sugar Hill.,250,3,276
Bright and lovely 1 bdrm apt in LES,125,25,102
Beautiful One Bed West Village - 4 Month Special,200,30,251
Gigantic Private Brooklyn Loft!,229,1,188
Condo Apartment with laundry in unit,90,30,346
1BR: See Central Park from Terrace!,110,13,0
Private room in cozy Greenpoint,59,3,15
Food & Music Dream Apartment in Williamsburg,195,4,71
French Garden cottage off Bedford,169,1,215
Alcove Studio w/ outdoor Patio Deck,113,14,253
Luxury 3 bed/ 2 bath apt in Harlem w/ terrace,250,14,78
One Bedroom Mini studio - Free WIFI,115,2,257
"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",55,2,0
BROOKLYN > Guest Room w/ King Bed in Williamsburg,69,2,8
Bright Cozy Chinatown Studio Apt.,150,3,191
Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,169,2,182
Superior @ Box House,179,3,79
Hells Kitchen Garden of Eden,150,3,49
"Historic House Boerum Hill, BK, NYC",135,4,0
Lovely 3 bedroom in Italianate Brownstone w/garden,350,6,156
"Williamsburg HUGE, PRIVATE BATH - Next to Train!",120,14,343
Cozy room in East Village with AC,71,2,200
Duplex w/ Terrace @ Box House Hotel,349,3,60
Loft w/ Terrace @ Box House Hotel,349,3,60
Spacious 3 Bedroom Duplex in Park Slope,165,30,189
Loft w/ Terrace @ Box House Hotel,249,3,60
Columbia Castle in Brooklyn Heights,100,3,0
Columbia Castle 2 BR,200,3,106
"Charming Artist's Flat, East Village",169,4,276
BEAUTIFUL 2 BEDROOM APARTMENT,185,3,248
Brooklyn Cove Studio Apt w/ Garden!!,65,2,194
"Ft. Greene garden gem, large and convenient",130,35,135
Williamsburg penthouse with private roof cabana,199,30,30
East Village Designer's 1-BR APT,225,2,0
Superior @ Box House,179,3,81
So Much Room in Brooklyn,150,5,0
Large Studio--Heart of East Village,139,1,142
Huge.Bright.Clean.Safe. Private Room,95,3,60
Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,79,15,179
MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,150,2,52
The Brooklyn Waverly,650,5,365
"WONDERFUL, COMFORTABLE STUDIO",90,3,324
MAISON DES SIRENES 2,120,2,237
"Modern, Safe, Clean, Bright Room in Astoria for 2",80,1,365
LARGE 1BR (CONV 2BR) CROWN HEIGHTS,100,90,365
The Vernon On Greene,175,2,204
"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",120,5,272
Lovely 1BR in Tree-lined WBurg,140,7,0
Spacious Loft in Clinton Hill,200,5,9
"The Brooklyn Waverly, One Bedroom",165,4,365
LOVELY APARTMENT IN THE HEART OF NY,125,4,181
Groovy NYC Chelsea Pad,130,30,189
Comfortable Cozy Space in El Barrio,65,7,0
Sunny Bklyn Jewel  Fort Greene JULY  - AUG 2019,123,30,189
"MANHATTAN Neat, Nice, Bright ROOM",67,2,296
Bienvenue,50,1,88
Large Brand New Park Slope 1BR,130,7,35
Colorful Artistic Williamsburg Apt,100,3,0
UWS Brownstone Near Central Park,212,21,35
Artsy TopFloor Apt in PRIME BEDFORD Williamsburg,190,3,359
2 BR w/ Terrace @ Box House Hotel,599,3,60
BOHEMIAN EAST VILLAGE 2 BED HAVEN,249,5,365
Oceanfront Apartment in Rockaway,70,27,335
Private 1-Bedroom Apt in Townhouse,100,30,282
Bright Room With A Great River View,60,3,247
Tree lined block modern apartment,135,2,102
Sweet Historic Greenpoint Duplex,175,3,274
Riverside Charm with Fire Place,120,5,201
"Very Central, Nomad/Chelsea Loft Studio",169,18,98
Sunny 3BR Apt Ideal for Family  ,165,7,157
Cozy Private Room in West Harlem!,90,1,0
UES Quiet & Spacious 1 bdrm for 4,225,2,312
ALL ABOUT A VERY COMFORTABLE ROOM..,95,2,331
Brooklyn- Crown Heights Garden Apt.,55,2,275
Cozy room in Time Square!,85,10,174
Large Park Slope Townhouse Duplex,199,14,223
Lower East Side 2 Bedroom Apt,211,1,361
"Manhattan Studio, Perfect Location",145,6,0
Sun-Drenched Hamilton Hts Jewel   ,65,14,283
Your Stunning Vacation Apartment!,99,1,220
1 BDRM Apt-Weekend Sublease,110,4,363
ROOM WITH A  KITCHENETTE,80,3,315
"Conveniently Located, Sunny Brooklyn Heights!",150,30,281
Style in Stuyvesant Heights,110,4,283
Heart of Meatpacking & Chelsea,290,2,20
Spacious East Village apt near it all,87,2,0
Williamsburg apartment right by the subway,190,4,331
Spacious Brooklyn Loft - 2 Bedroom,200,2,36
"Park Slope Apt:, Spacious 2 bedroom",165,2,7
NYC Studio for Rent in Townhouse,110,2,301
⚡Quiet Gem w/roof deck on NY's Hottest Street⚡,395,2,170
Authentic New York City Living ,99,2,307
SUPER BIG AND COZY PRIVATE BEDROOM,39,1,365
☆Massive DUPLEX☆ 2BR & 2BTH East Village 9+ Guests,189,2,201
Gorgeous Upper West Side Apartment,85,1,0
"Luxe, Spacious 2BR 2BA Nr Trains",260,30,316
City Room - Street View Apt,122,1,271
Cozy and Bright One Bedroom in BK,165,2,139
Forest Hills Apt minutes to midtown Manhattan,97,3,209
Spacious West Village 1 b/room King,170,4,0
Perfect Williamsburg Summer Haven,125,2,0
Midtown cozy convenient,130,4,193
Prime Williamsburg Apartment,225,10,52
"Private, spacious room in Brooklyn",50,2,136
Garden apartment close to Manhattan,170,3,286
The Ground Studio - West Side,132,4,0
Stunning arty 3200sf 3FLR+3BR townhome w/terrace,250,7,18
Sunny and Spacious Designer's Home,141,5,9
"Spacious,Sunny, private one bedroom",64,20,3
Truly Amazing Oasis In The City,249,3,277
Holiday Time in NY - Oh My!!,79,2,0
"East Village, King-Sized, Charmer",185,2,233
Affordable Furnished Apartment,120,3,221
Architect's Brownstone,495,1,355
LUXURY SOHO 2 Bedroom Apt ,375,3,0
Charming Nolita Apartment!!,175,3,277
"EAST VILLAGE STUDIO, sunny & quiet",150,4,0
LUXURY OF THE HORIZON,259,8,343
1 Bdrm in 4 Bdrm dupelx/roof deck,96,1,0
The Heart of Prime Williamsburg,145,7,0
Parisian apartment in Chelsea,200,4,0
Cozy 2 Bedroom with Private Garden,95,5,0
Three-bedroom house in a quiet neighborhood,250,4,188
Beautiful Duplex w/Private Garden,295,2,264
NYC - Sunny Greenwich Village 1br,175,3,0
Garage Designer Loft,451,2,331
Best City Area Columbia U Upper West Side C Park,165,2,236
Your own apartment off Park Avenue,250,4,0
Artsy 1 bedroom Apt. 20 min to 42nd Grand Central!,77,1,309
Lower East Side 2 Bed Apt.,250,4,0
Astoria-Private Home NYC-,129,1,245
"BIG, COMFY , PRIV. ROOM, BIG APT, YARD, GREAT LOC.",98,2,0
Park Slope Apartment,150,2,8
CHARMING PRIVATE BEDROOM EAST VILLAGE,95,7,359
City Room - Semi Private Bedroom,55,3,333
Cozy apartment in a brownstone,300,2,258
Female Only Clean15min to Manhattan,42,40,236
Greenpoint Spacious Loft,125,2,22
Private E. Village Townhouse Stay,175,3,236
Harlem/Hamilton Heights Cozy Room,75,3,365
Incredible Prime Williamsburg Loft!,255,45,89
Large  Loft Style  Studio  Space,72,31,164
Hancock Town House!-Stuyvesant Mews,165,1,311
Entire Apt in Heart of Williamsburg,165,5,23
Clinton Hill + Free Coffee = #smile,75,3,365
"Nice, cozy, neat apt Greenpoint,BK",130,5,0
PRIVATE and SUNNY Williamsburg Apt!,139,2,222
Purple Room for 2/3 in brownstone $1450 per month,88,1,238
Red Room for two in Brownstone for $1355/mo,80,1,218
"Chelsea living, 2BR best location",150,2,0
LOCATION LOCATION LOCATION UWS 60's,200,3,0
In the heart of East Village,200,2,235
Sunny 15min to Manhattan LADY only,42,40,246
Surfer room 15mins to downtown NYC!,90,6,0
Manhattan Penthouse-Max.12 guests,295,3,247
Prime Williamsburg 3 BR with Deck,450,5,15
Beautiful Brooklyn Oasis ,130,2,119
Blue Room in Awesome Artist's Apartment!,89,3,0
Cool & Spacious Harlem Artist Flat,198,5,234
☆ STUDIO East Village ☆ Own bath! ☆ Sleeps 4 ☆,99,2,257
Greenpoint Loft / Le Chez Andrea,46,4,350
"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*",140,2,221
Amazing Brownstone in Best Brooklyn,500,7,0
Couldn't Be Closer To Columbia Uni2,75,5,201
Lady only Curtain-divided room,33,44,161
Nice Manhattan Apt Near Central Park and Subway,250,31,259
LG Private Room/Family Friendly,60,3,0
Spacious Quiet rm - 20mins to Midtown,75,2,222
"3 BR, Beautiful Brooklyn Duplex",350,5,0
Spacious modern studio apartment in Manhattan,205,9,76
Gorgeous Duplex + Garden,219,5,0
CBG# 4Tiny room w/ huge window/AC,60,1,258
Charming upper west side apartment,185,2,14
Light-filled East Village Delight,190,3,27
"Sunny, quiet, legal homelike suite-Pk Slope South",105,28,167
Spacious Duplex in Brownstone!,250,2,68
Lovely Vintage Haven—Heart of UWS,175,65,358
Modern Space in Charming Pre-war,65,2,59
Warehouse Loft with Garden view,75,2,0
 Affordable & Cozy ,37,4,232
Creative Vintage Loft in S. Williamsburg,85,2,15
Very close to Downtown Awesome Private Apartment,106,7,0
The Happy home!,79,2,0
"Fort Greene, Brooklyn: Front Bedroom",85,2,161
Gorgeous 1 bdrm in huge duplex!,170,2,88
"Sunny, cozy room in Lower East Side",115,3,337
Large Quiet Bedroom Near Columbia U,89,5,247
Cozy Pre-War Harlem Apartment,49,3,248
spacious studio,91,3,287
"Elegant 2-BR duplex, Union Square",400,2,304
Cozy private family home in Bushwick,150,2,0
Luxury 2Bed/2.5Bath Central Park View,2000,30,0
Cosy Sunny 1brm in Prospect Heights,97,3,193
East Village bedroom w rooftop,100,4,43
Williamsburg Home Away From Home!,179,4,25
Brand New Beautiful Duplex Apartment with Garden,500,2,127
"PRIME, Luxury, Spacious 2 Bedroom Apt in Chelsea",429,10,0
SPACIOUS ALCOVE STUDIO/ JUNIOR ONE,189,6,303
High-end doorman bldg in the LES,120,2,345
Spring & Mulberry 2 Bedroom Apartment,300,1,115
Ultra Modern NYC Garden Apartment,107,30,200
Modern Garden Apartment in NYC,95,30,271
Gorgeous Entire Manhattan Townhouse,199,2,12
Cozy studio Apartment in Upper East,120,2,268
Historic classic central cozy Village clean NYU,199,15,89
A PRIVATE FLAT / APARTMENT- $SPECIAL$,125,2,347
Williamsburg bedroom by Bedford Ave,70,2,37
Clean and bright with a comfortable atmosphere,75,4,0
WEST VILLAGE LRG CLEAN SUNNY PRIVATE BDRM,100,30,359
Historic Brooklyn Studio Apartment,99,2,287
Comfort at Crossroads of Downtown,250,1,0
"""The Oasis"" on Bedford Williamsburg",350,6,233
"Large, sunny garden apartment.",170,3,129
UNION SQUARE/ E. VILL 1BR BEAUTIFUL,165,1,0
Hell's Kitchen Funky 80's Hideaway!,99,1,353
Room in Chic Modern High Line Luxury- New!,255,4,365
Family & Friends in New York City,169,3,297
Spacious & Comfy BK Brownstone,99,4,56
Large Luxury Upper East Side Studio,169,7,44
Chateau Style Brooklyn Loft for Singles or Couples,160,3,355
Lovely Brooklyn Brownstone 1BR!,215,3,156
Beautiful Grdn. Apt. in Park Slope,130,3,273
Sun-drenched East Village Penthouse,110,3,274
Columbus Circle Luxury Bldg - Private Room&Bath,150,28,258
Bright Private Bedroom in Williamsburg (Bedford L),65,30,276
"Spacious, Kid-Friendly, and 15-20 Mins. to Midtown",75,2,65
Quiet Chelsea Studio w/Charm,149,6,0
Large Room Overlooking Central Park,89,6,180
"Cheerful, comfortable room",50,1,343
Hospitality on Propsect Pk-12 yrs Hosting Legally!,43,1,43
"Prospect Pk*NYC in 5 stops* Cozy,Clean & Legal!",42,1,96
Loft Style Apt in Williamsburg,85,1,59
2 Beds over Bed-Stuy,139,3,255
"Sunny, Large, Park Slope Bedroom",105,1,252
Huge Bklyn Loft w Private Roofdeck,265,5,0
Quiet Jr Alcove Near Times Square!,149,1,20
Large room in elevator drman bldg,68,2,188
"Comfy, Cozy, Brooklyn close to Manhattan",99,3,304
Modern Bedroom in Hamilton Heights,75,3,38
Sunny Space in Williamsburg,100,2,254
Best Manhattan Studio Deal!   ,90,1,0
STYLISH EAST VILLAGE FLAT,160,30,46
Serene Park Slope Garden Apartment,190,4,328
Cozy and spacious - rare for NYC!,67,4,0
Beautiful UES apartment,190,1,0
St. James Pl Garden Studio 1block to PRATT &Gtrain,248,2,199
"Great, spacious apt in Williamsburg",100,6,249
Comfortable. Spacious. Private Room.,95,3,64
Modern Condo in Midtown,150,1,111
Ideal Brooklyn Brownstone Apartment,145,3,287
"A Cozy Oasis in Bushwick, NY",41,2,286
Private Entrance - Private Parking,120,4,263
Yankee Stadium Oasis 2 stops to Manhattan!,50,3,276
"Sunny, Spacious Studio in Ft.Greene",157,2,0
Williamsburg Exposed Brick Loft,195,14,263
Bright Modern Charming Housebarge,70,4,90
Central Bedford Avenue Apartment,185,3,0
Welcome to Brooklyn! Bed-Stuy,145,3,11
Sunnyside NYC/ AC room/ city views/ near Midtown,50,28,287
Greenpoint Waterfront Loft,185,3,1
East Village House -- Unique!,250,1,0
2-bedroom share in heart of Greenwich Village!,80,90,338
1 Bedroom Pre War apt,230,2,44
Quiet One Bedroom in Park Slope,100,7,0
