name_y;neighbourhood_ID;room_type_ID;price;minimum_nights;availability_365
 ORIGINAL BROOKLYN LOFT ;94;2;228;3;140
Greenpoint PlaceHas It All ;79;2;144;2;234
Beautiful Apartment in Manhattan;109;2;200;7;257
Williamsburg 1 bedroom Apartment;94;2;150;30;30
Great Location Manhattan Bedroom;111;1;110;5;301
Best Location in NYC TIMES SQUARE;107;1;69;2;294
Room in Greenpoint Loft w Roof;79;1;49;4;320
Bright Nolita Apt w DoormanElevatorsGym;119;2;180;30;154
Very very cozy place;94;1;80;2;263
Sunny  Spacious Chelsea Apartment;97;2;375;180;180
2 bedroom  Upper East Sidegreat for kids;124;2;250;2;231
Comfortable 4bedroom apt in family house;86;2;200;30;297
Double Room w Private Deck Clinton Hill Best Area;62;1;55;7;292
Your Heaven in Hells Kitchen;107;1;52;30;191
Lightfilled 2B duplex in the heart of Park Slope;85;2;225;3;0
Sunny Modern room in East Village;101;1;80;1;72
HAVEN LOFT  Entire Floor  Six Windows  Bricks;94;2;275;1;362
Large Room in Amazing East Village Apt;101;1;99;1;336
SpaHa Loft Enormous and Bright;100;2;225;4;215
Lovely EV Artists Home;101;2;230;9;116
Cool Room in Hells Kitchen;107;1;51;7;88
HARLEM NEW YORK WELCOMES YOU;126;1;65;2;336
BLUE TRIM GUEST HOUSE;62;1;105;2;304
Charming East Village One Bedroom Flat;101;2;190;5;224
Manhattan Room;124;1;200;1;322
Little King of Queens;178;1;70;30;324
Fort Greene Retreat on the Park;75;1;95;3;132
Beautiful Meatpacking District Loft;97;1;150;3;295
Cozy 2 BR in Williamsburg ;94;1;145;3;238
Spacious luminous apt Upper West NYC;106;2;110;31;209
Entire 2 Bedroom  Large  Sunny;111;2;285;5;328
Sunny Spacious Top Floor Haven;73;2;130;6;38
Private room Great Deal at Lower East Side;111;1;94;30;188
perfect for a family or small group;57;2;800;1;7
2 bedroom Williamsburg Apt  Bedford L stop;94;2;105;3;272
Oh glorious spring;101;1;60;3;26
Great Location for NYC;101;1;50;1;0
Cozy Bedroom in Williamsburg 3 BR;94;1;85;3;288
Sunny roomPvte office in huge loft;59;1;65;4;317
Spacious Prospect Heights Apartment;86;2;131;4;207
Large Parlor Room Landmark Home 1 block to PRATT;62;1;98;7;185
2bed brownstone duplex  garden;86;2;250;7;158
Charming 1 bed GR8 WBurg LOCATION;94;2;100;5;0
Sunny Apartment in Artist Home;59;2;105;3;9
Lightfilled classic Central Park ;125;2;140;3;198
Upper Manhattan New York;106;1;89;1;365
COZY QUIET room 4 DOOGLERS;97;1;98;30;364
The Stuydio Modern and Light Filled;51;2;125;7;311
loft bed  near transportation15min to times sq;106;1;60;3;219
House On Henry 3rd FLR Suite;61;2;175;2;342
Monkey Retreat Manhattan;126;1;65;2;312
2000 SF 3br 2bath West Village private  townhouse;127;2;500;4;243
WilliamsburgSteps To Subway Private BathBalcony;94;1;101;3;152
Beautiful Duplex Apartment;85;2;220;30;9
Large 2 Bedroom Great for Groups;51;2;125;90;137
Modern Brooklyn Apt August sublet;94;2;80;30;222
1800 sq foot in luxury building;106;1;100;2;346
Sunny 2story Brooklyn townhouse w deck and garden;77;2;200;30;208
Times Square Safe Clean and Cozy;107;1;59;2;279
Cozy Room 3 Landmark Home 1 Block to PRATT;62;1;125;2;250
Beautiful Apartment East Village;101;2;140;7;164
Park Slope Green Guest House;91;2;120;30;192
2 BR  2 Bath Duplex Apt with patio East Village;101;2;350;2;298
NYC fabulous views Manhattans eye;109;2;199;5;260
2 story family home in Williamsburg;94;2;325;3;107
Comfortable UWS 2BD FamilyFriendly Brownstone;125;2;235;6;199
Great Large 1 BR apt  in East Village;101;2;225;1;299
Eveland Private Bed  Living Room w Own Entrance;91;1;99;2;20
Sugar Hill Rest Stop ;106;2;170;2;318
3 Story Town House in Park Slope;91;2;400;2;216
apartment next to Central park;125;2;170;7;224
East Village Sanctuary;101;2;100;4;0
Large 1  BR in a 3 BR Brooklyn apt next to Q Trn;87;1;75;2;324
Modern Apt with Spectacular Views;94;1;90;1;245
Garden studio in the Upper East Sid;124;2;150;5;189
Secluded Master Bedroom in Beautiful Huge Apt;126;1;85;15;307
B  B Room 1;51;1;70;3;310
ACCOMMODATIONS GALORE 1;106;2;120;3;213
Sunny Room in New Condo;62;1;89;3;278
Stylish  Sleek Apartment Near SoHo;101;2;185;5;209
NYC artists loft with roof deck;79;1;50;3;0
Unique  Charming small 1br Apt LES;111;2;105;3;16
Most Central Location;107;1;130;2;234
Luminous Beautiful West Village Studio;127;2;115;29;12
Sanctuary in East Flatbush;74;1;77;2;178
Room with En Suite Bathroom  Deck;62;1;76;2;275
FLAT MACDONOUGH;51;2;125;3;163
Huge Private  Floor at The Waverly;62;1;135;4;365
Modern Greenpoint Brooklyn Apt;79;2;250;29;34
Sundrenched artsy modernist 1 BDRM duplex;94;2;199;3;280
Sunny Cobble Hill Apartment;63;2;140;2;0
Fully Furnished Basement Apartment;146;1;140;2;1
FLAT MACDONOUGH GARDEN;51;2;115;3;170
Light filled Williamsburg Apartment;94;2;160;3;188
Retreat in Williamsburg;94;2;195;4;214
NYC Zen;101;2;195;3;248
Cozy BR in Wiliamsburg 3 Bedroom;94;1;80;3;262
Sunny Room in Old Historical Brooklyn Townhouse;75;1;44;8;280
Sun Filled Classic West Village Apt;127;1;156;4;307
Lg Rm in Historic Prospect Heights;86;1;85;15;339
Classic Artist Loft Williamsburg;94;1;125;3;1
Great location Spacious on PROSPECT PARK;86;2;115;15;269
Private BdrmBathrm New Elevator;100;1;69;2;10
Sunny clean 1 bdrm in W Village;127;2;225;45;312
Great location in Williamsburg;94;2;125;6;189
Light and Airy Upper East Side 1 BDR apartment;124;2;219;4;290
Luxury Brownstone in Boerum Hill;54;2;475;3;230
CENTRAL PARK LOFT all for YOU;124;2;99;1;164
IndieChic Share In Williamsburg;94;1;69;4;53
A room w a Manhattan view longer stay;175;1;79;30;126
Private Large  Sunny 1BR wWD;51;2;135;2;3
Luxurious Condo in DUBMO with View;68;1;250;3;189
Charming  Cozy midtown loft any WEEK ENDS  ;124;2;250;3;365
 Spacious GARDEN Park Slope Duplex 6 people max;77;2;250;2;0
Convenient cozy cheap apt Manhattan;106;2;80;3;0
Parlor Room In Victorian Townhouse;62;1;70;2;336
House On Henry 2nd FLR Suite;61;2;165;2;342
New York room with a view;213;1;70;2;312
Sunny cozy room in Brklyn townhouse;59;1;50;2;37
Room with a View;17;1;40;1;353
LightOpenAiryRusticModern Loft;94;2;150;2;177
West Inn 2  East Village;101;1;125;1;310
Financial District Luxury Loft;102;2;196;3;0
BROOKLYN VICTORIAN STYLE SUITE;75;1;110;2;321
Your own Lovely West Village Studio;127;2;170;3;246
ACCOMMODATIONS GALORE3 15 GUESTS;106;2;165;3;231
Greenwich Village Stylish Apartment;127;2;150;26;225
Clean and Cozy Harlem Apartment;106;2;100;2;0
Fort Greene Brooklyn Center Bedroom;75;1;65;2;0
Beautiful Queens Brownstone  5BR;169;2;350;8;365
Couldnt Be Closer To Columbia Uni;114;1;99;4;233
Bright Spacious Luxury Condo;94;2;200;4;1
Park Slope haven 15 mins from Soho;85;2;150;5;18
SAFE  AND BEAUTIFUL ACCOMODATION;51;1;90;3;343
Large Room in private Brownstone in Park Slope;86;1;120;3;250
NEW YORK CITY 1 BDRMNEAR CENTRAL PARK  METRO;124;1;75;3;326
LARGE COMFY 1BDR WCHARACTER;51;2;175;26;364
Chelsea Studio sublet 1  2 months;97;2;125;3;0
LUX APT IN TIMES SQUARE NEW BUILDING;107;2;275;1;299
Designer 1 BR Duplex w Terrace Spectacular Views;111;2;299;2;207
Lovely Apt  Garden  Legal  Best Area Amenities;91;2;135;5;162
1 Bedroom in 2 Bdrm Apt Upper East;124;1;130;14;0
Lower East Side 57night;111;1;83;1;7
Prime Location in Manhattan;97;1;123;1;328
 F ExcellentPvt Rm;154;1;55;2;365
Quiet sunny Midtown Manhattan apt;107;2;195;5;0
Big RoomWasherDryerWifiACJMZ;51;1;80;2;0
cozy studio with parking spot;163;2;98;30;240
Clean and convenient 2BR apartment;169;1;140;7;365
3 floors of luxury;163;2;265;7;365
The InstituteHeart of Williamsburg;94;2;249;2;164
MIDTOWN WEST  Large alcove studio;107;3;105;6;363
Beautiful Uptown Manhattan apartmnt;106;1;200;30;365
Sml Rm in pr Brst  Park Sl great for Medstudents;86;1;100;2;250
City Room  Private Penthouse Apt;106;2;121;1;247
Cozy bedroom by Yankee Stadium;17;1;45;1;323
Great apartment with private bathroom and entrance;100;1;100;5;192
Private Garden Apt  New Renovation;94;2;140;2;125
Modern comfort in art infused landmark Brownstone;51;1;71;2;91
NOHOEAST VILLAGE PRIVATE 12 BATH;116;1;130;2;75
Sleek  Comfortable Soho Apt;127;2;199;5;286
Spacious Williamsburg Share w LOFT BED;94;1;69;4;60
Cozy 2 br in sunny Fort Greene apt;75;1;68;3;0
Cozy East Village Railroad 1 Bed;101;2;130;1;192
1 Bedroom Loft w Private Roof Deck;79;2;195;2;58
City Room  Private  Comfy Bedroom;106;1;64;1;245
Elegant NYC Pad;140;2;140;2;292
Clean  bright 1BR in Cobble Hill GREAT location;63;2;159;2;279
Modern Large East Village Loft;101;2;189;3;0
Great new apt close to everything;107;2;250;3;3
Quiet  Clean Retreat in the City;101;2;239;3;351
Stylish Large Gramercy Loft;103;2;305;2;201
The BrownstoneLuxury 1 Bd AptNYC;106;2;155;3;232
PRIVATE Room on Historic Sugar Hill;106;1;60;1;258
South Slope Green;95;1;135;2;272
17 Flr Manhattan Views Nr Subway;118;1;120;7;341
Spacious 1BR Adorable Clean Quiet;111;2;150;3;244
Nice clean safe convenient 3BR;169;2;140;14;365
Franklin St Flat in Trendy Greenpoint Brooklyn;79;2;135;2;12
Artistic Cozy and Spacious w Patio Sleeps 5;98;2;250;4;265
One bedroom Apt in NYC;113;2;250;30;0
Beautiful elegant 3 bed SOHO loft;119;2;500;4;329
Spacious Greenwich Village Apt;105;2;225;5;91
SpaHa Studio Monthly Rental;100;2;125;28;365
City Room  Private Luxury Suite;106;1;92;1;253
Private Roombath Luxurious Harlem;106;1;175;2;365
The gem of the East Village;101;2;99;2;320
Bright and spacious garden below;125;2;195;4;0
ACCOMMODATIONS GALORE 2;100;2;140;3;192
Colorful Private One Bedroom Apt;110;2;135;2;0
Huge Chelsea Loft;97;2;500;2;348
Great room in great location;106;1;80;14;0
Exclusive Room with Private Bath in  LES;98;1;120;4;353
Quiet clean midtown apt w elevato;113;2;110;200;140
BK Sweet Suite wKitchenFullBath;71;2;65;3;2
Great East Village Apartment Rental;101;2;130;50;56
BROWNSTONE SUNDRENCHED BEAUTY;59;2;99;3;68
A SpeciaL Private Room in NY;216;1;36;2;360
B NYC Staten Alternative;216;1;37;2;0
C Private Room By The Ferry;216;1;37;2;320
Smallest House In The Village;101;2;175;3;326
Beautiful modern studio apartment in heart of NYC;97;2;205;9;76
Beautiful Landmarked Duplex;79;2;285;3;279
BROOKLYN  Guest Room w Queen Bed in Williamsburg;94;1;59;2;15
D Private Chep Room 2 Explore NYC;216;1;36;2;340
Safe cute near subway Manhattan NY NY retro style;129;2;99;5;226
Large and Cozy Private Bedroom;80;1;39;1;365
Small tidy bedroom in duplex;85;1;60;14;0
LL3;8;1;90;2;349
DOMINIQUES NY mini efficiency wifimetroquiet;13;2;105;2;365
Private Large  Sunny Top Floor Apt  wWD;51;2;135;2;11
Cottage in the Village;101;2;390;5;316
BEDROOM1 FOR RENT 10min from Manhan;51;1;70;3;281
HOSTING YOUR  SUNNY SPACIOUS NYC ROOM;108;1;75;7;323
Williamsburg near soho  loftbed;94;1;60;17;362
Prime East Village 1 Bedroom;101;2;200;3;0
BROOKLYN  STUDIO APARTMENT;66;1;100;3;301
BEDROOM2 FOR RENT  10min from Manh;51;1;70;4;189
cozy bedroom in lovely garden apt;66;1;110;6;0
Crown Heights Garden Apt;66;1;60;2;287
Amazing  Sunny  Breezy Home In the Heart of  NYC;110;2;90;14;14
ENJOY Downtown NYC;101;1;68;2;86
Charming UWS Treehouse Apt;125;2;115;2;261
Share a HOME  75 for 1 bdrm for 2  Brooklyn;51;1;75;5;68
Room in S3rdBedford Williamsburg;94;1;60;3;0
CHARMING EAST VILLAGE 2 or 1 BR;101;2;129;7;231
Farmhouse Apartment in Williamsburg;94;2;130;10;152
BrightSpacious Williamsburg Abode;94;2;95;4;46
Suite Sugar Hill Harlem Private Rm in Hosted Apt;106;1;75;3;364
Beautiful 1 Bedroom Apt Park Slope;85;2;175;2;246
CHARMING CARROLL GARDENS APT;61;2;190;3;288
Private Bedroom Brownstone Brooklyn;66;1;49;21;331
East Village Loft with Piano  Patio;101;2;212;3;51
Lower East Side Magic Room;111;1;95;1;364
Fantastic Williamsburg Apt;94;2;140;2;254
West Harlem Home Base  EcoApt;106;2;135;6;189
Charming Garden Apt in Park Slope;85;2;150;2;263
Lovely Modern Garden Apartment;77;2;190;3;258
Central Park 1BR sunny condo;100;2;124;28;103
Cozy Garden Apartment  in Williamsburg;94;2;135;30;42
SoHa comfortby NW Central Park;114;1;122;3;246
Cozy room in Upper West Side;125;1;109;1;364
Cozy Private Room in Apartment;106;1;85;30;318
The Cozy Brownstone Inn discount;51;2;145;3;72
Prewar Penthouse w Private Terrace;125;2;195;11;249
Designer 25 BR Loft in Carroll Gardens by Subway;61;2;250;2;272
Bright Beautiful Brooklyn;79;1;125;3;325
Unique spacious loft on the Bowery;110;2;575;2;298
Nice renovated apt prime location;125;2;150;30;35
Brooklyn Writers Nook;59;1;70;5;203
Private Bedroom in Large NYC Apartment;108;1;90;2;132
Large Sunny Room East Village NYC;101;1;65;3;5
Great Large 3 BR2 Bath Duplex with Private Patio;101;2;500;2;297
All That Jazz Uptown style on Sugar Hill;126;2;250;3;276
Bright and lovely 1 bdrm apt in LES;98;2;125;25;102
Beautiful One Bed West Village  4 Month Special;127;2;200;30;251
Gigantic Private Brooklyn Loft;79;2;229;1;188
Condo Apartment with laundry in unit;19;2;90;30;346
1BR See Central Park from Terrace;125;2;110;13;0
Private room in cozy Greenpoint;79;1;59;3;15
Food  Music Dream Apartment in Williamsburg;94;2;195;4;71
French Garden cottage off Bedford;94;2;169;1;215
Alcove Studio w outdoor Patio Deck;100;2;113;14;253
Luxury 3 bed 2 bath apt in Harlem w terrace;106;2;250;14;78
One Bedroom Mini studio  Free WIFI;129;2;115;2;257
Sunlit and Cozy WilliamsburgGreenpoint Brooklyn;79;1;55;2;0
BROOKLYN  Guest Room w King Bed in Williamsburg;94;1;69;2;8
Bright Cozy Chinatown Studio Apt;111;2;150;3;191
Eveland the Place to Stay  Enjoy a 5 2bdrm;91;2;169;2;182
Superior  Box House;79;1;179;3;79
Hells Kitchen Garden of Eden;107;1;150;3;49
Historic House Boerum Hill BK NYC;54;2;135;4;0
Lovely 3 bedroom in Italianate Brownstone wgarden;62;2;350;6;156
Williamsburg HUGE PRIVATE BATH  Next to Train;94;1;120;14;343
Cozy room in East Village with AC;101;1;71;2;200
Duplex w Terrace  Box House Hotel;79;1;349;3;60
Loft w Terrace  Box House Hotel;79;1;349;3;60
Spacious 3 Bedroom Duplex in Park Slope;85;2;165;30;189
Loft w Terrace  Box House Hotel;79;1;249;3;60
Columbia Castle in Brooklyn Heights;57;1;100;3;0
Columbia Castle 2 BR;57;2;200;3;106
Charming Artists Flat East Village;101;2;169;4;276
BEAUTIFUL 2 BEDROOM APARTMENT;51;2;185;3;248
Brooklyn Cove Studio Apt w Garden;59;2;65;2;194
Ft Greene garden gem large and convenient;75;2;130;35;135
Williamsburg penthouse with private roof cabana;94;2;199;30;30
East Village Designers 1BR APT;101;2;225;2;0
Superior  Box House;79;1;179;3;81
So Much Room in Brooklyn;66;2;150;5;0
Large StudioHeart of East Village;101;2;139;1;142
HugeBrightCleanSafe Private Room;123;1;95;3;60
Garden 1BR1BA Brownstone Apt  2 blocks to subway;66;2;79;15;179
MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN;111;2;150;2;52
The Brooklyn Waverly;62;2;650;5;365
WONDERFUL COMFORTABLE STUDIO;51;2;90;3;324
MAISON DES SIRENES 2;51;2;120;2;237
Modern Safe Clean Bright Room in Astoria for 2;129;1;80;1;365
LARGE 1BR CONV 2BR CROWN HEIGHTS;66;2;100;90;365
The Vernon On Greene;51;2;175;2;204
Beautiful Brights Warm  Spacious 15BR Apt;66;2;120;5;272
Lovely 1BR in Treelined WBurg;94;2;140;7;0
Spacious Loft in Clinton Hill;51;2;200;5;9
The Brooklyn Waverly One Bedroom;62;1;165;4;365
LOVELY APARTMENT IN THE HEART OF NY;109;2;125;4;181
Groovy NYC Chelsea Pad;97;2;130;30;189
Comfortable Cozy Space in El Barrio;100;3;65;7;0
Sunny Bklyn Jewel  Fort Greene JULY   AUG 2019;75;2;123;30;189
MANHATTAN Neat Nice Bright ROOM;126;1;67;2;296
Bienvenue;166;1;50;1;88
Large Brand New Park Slope 1BR;77;2;130;7;35
Colorful Artistic Williamsburg Apt;94;1;100;3;0
UWS Brownstone Near Central Park;125;2;212;21;35
Artsy TopFloor Apt in PRIME BEDFORD Williamsburg;94;2;190;3;359
2 BR w Terrace  Box House Hotel;79;1;599;3;60
BOHEMIAN EAST VILLAGE 2 BED HAVEN;101;2;249;5;365
Oceanfront Apartment in Rockaway;170;1;70;27;335
Private 1Bedroom Apt in Townhouse;66;2;100;30;282
Bright Room With A Great River View;106;1;60;3;247
Tree lined block modern apartment;51;2;135;2;102
Sweet Historic Greenpoint Duplex;79;2;175;3;274
Riverside Charm with Fire Place;125;2;120;5;201
Very Central NomadChelsea Loft Studio;113;2;169;18;98
Sunny 3BR Apt Ideal for Family  ;66;2;165;7;157
Cozy Private Room in West Harlem;106;1;90;1;0
UES Quiet  Spacious 1 bdrm for 4;124;2;225;2;312
ALL ABOUT A VERY COMFORTABLE ROOM;75;1;95;2;331
Brooklyn Crown Heights Garden Apt;66;1;55;2;275
Cozy room in Time Square;107;1;85;10;174
Large Park Slope Townhouse Duplex;91;2;199;14;223
Lower East Side 2 Bedroom Apt;111;2;211;1;361
Manhattan Studio Perfect Location;113;2;145;6;0
SunDrenched Hamilton Hts Jewel   ;106;1;65;14;283
Your Stunning Vacation Apartment;106;2;99;1;220
1 BDRM AptWeekend Sublease;129;2;110;4;363
ROOM WITH A  KITCHENETTE;66;2;80;3;315
Conveniently Located Sunny Brooklyn Heights;57;2;150;30;281
Style in Stuyvesant Heights;51;2;110;4;283
Heart of Meatpacking  Chelsea;97;1;290;2;20
Spacious East Village apt near it all;101;1;87;2;0
Williamsburg apartment right by the subway;94;2;190;4;331
Spacious Brooklyn Loft  2 Bedroom;94;2;200;2;36
Park Slope Apt Spacious 2 bedroom;85;2;165;2;7
NYC Studio for Rent in Townhouse;106;2;110;2;301
Quiet Gem wroof deck on NYs Hottest Street;101;2;395;2;170
Authentic New York City Living ;51;1;99;2;307
SUPER BIG AND COZY PRIVATE BEDROOM;80;1;39;1;365
Massive DUPLEX 2BR  2BTH East Village 9 Guests;101;2;189;2;201
Gorgeous Upper West Side Apartment;125;1;85;1;0
Luxe Spacious 2BR 2BA Nr Trains;77;2;260;30;316
City Room  Street View Apt;106;2;122;1;271
Cozy and Bright One Bedroom in BK;79;2;165;2;139
Forest Hills Apt minutes to midtown Manhattan;147;2;97;3;209
Spacious West Village 1 broom King;127;2;170;4;0
Perfect Williamsburg Summer Haven;94;2;125;2;0
Midtown cozy convenient;115;1;130;4;193
Prime Williamsburg Apartment;94;2;225;10;52
Private spacious room in Brooklyn;71;1;50;2;136
Garden apartment close to Manhattan;75;2;170;3;286
The Ground Studio  West Side;97;2;132;4;0
Stunning arty 3200sf 3FLR3BR townhome wterrace;85;2;250;7;18
Sunny and Spacious Designers Home;79;2;141;5;9
SpaciousSunny private one bedroom;66;2;64;20;3
Truly Amazing Oasis In The City;94;2;249;3;277
Holiday Time in NY  Oh My;66;1;79;2;0
East Village KingSized Charmer;101;2;185;2;233
Affordable Furnished Apartment;54;2;120;3;221
Architects Brownstone;85;2;495;1;355
LUXURY SOHO 2 Bedroom Apt ;117;2;375;3;0
Charming Nolita Apartment;117;2;175;3;277
EAST VILLAGE STUDIO sunny  quiet;101;2;150;4;0
LUXURY OF THE HORIZON;106;2;259;8;343
1 Bdrm in 4 Bdrm dupelxroof deck;101;1;96;1;0
The Heart of Prime Williamsburg;94;2;145;7;0
Parisian apartment in Chelsea;97;2;200;4;0
Cozy 2 Bedroom with Private Garden;125;2;95;5;0
Threebedroom house in a quiet neighborhood;95;2;250;4;188
Beautiful Duplex wPrivate Garden;106;2;295;2;264
NYC  Sunny Greenwich Village 1br;105;2;175;3;0
Garage Designer Loft;94;2;451;2;331
Best City Area Columbia U Upper West Side C Park;125;2;165;2;236
Your own apartment off Park Avenue;124;2;250;4;0
Artsy 1 bedroom Apt 20 min to 42nd Grand Central;48;2;77;1;309
Lower East Side 2 Bed Apt;111;2;250;4;0
AstoriaPrivate Home NYC;129;2;129;1;245
BIG COMFY  PRIV ROOM BIG APT YARD GREAT LOC;94;1;98;2;0
Park Slope Apartment;85;2;150;2;8
CHARMING PRIVATE BEDROOM EAST VILLAGE;101;1;95;7;359
City Room  Semi Private Bedroom;106;1;55;3;333
Cozy apartment in a brownstone;106;2;300;2;258
Female Only Clean15min to Manhattan;175;1;42;40;236
Greenpoint Spacious Loft;79;2;125;2;22
Private E Village Townhouse Stay;101;1;175;3;236
HarlemHamilton Heights Cozy Room;106;1;75;3;365
Incredible Prime Williamsburg Loft;94;2;255;45;89
Large  Loft Style  Studio  Space;51;2;72;31;164
Hancock Town HouseStuyvesant Mews;51;1;165;1;311
Entire Apt in Heart of Williamsburg;94;2;165;5;23
Clinton Hill  Free Coffee  smile;62;1;75;3;365
Nice cozy neat apt GreenpointBK;79;2;130;5;0
PRIVATE and SUNNY Williamsburg Apt;94;2;139;2;222
Purple Room for 23 in brownstone 1450 per month;51;1;88;1;238
Red Room for two in Brownstone for 1355mo;51;1;80;1;218
Chelsea living 2BR best location;97;1;150;2;0
LOCATION LOCATION LOCATION UWS 60s;125;2;200;3;0
In the heart of East Village;101;2;200;2;235
Sunny 15min to Manhattan LADY only;175;1;42;40;246
Surfer room 15mins to downtown NYC;94;1;90;6;0
Manhattan PenthouseMax12 guests;106;2;295;3;247
Prime Williamsburg 3 BR with Deck;94;2;450;5;15
Beautiful Brooklyn Oasis ;66;2;130;2;119
Blue Room in Awesome Artists Apartment;94;1;89;3;0
Cool  Spacious Harlem Artist Flat;106;2;198;5;234
 STUDIO East Village  Own bath  Sleeps 4 ;101;2;99;2;257
Greenpoint Loft  Le Chez Andrea;79;1;46;4;350
SoHo Clean Safe Private Peaceful Bedroom A;119;1;140;2;221
Amazing Brownstone in Best Brooklyn;61;2;500;7;0
Couldnt Be Closer To Columbia Uni2;114;1;75;5;201
Lady only Curtaindivided room;175;1;33;44;161
Nice Manhattan Apt Near Central Park and Subway;125;2;250;31;259
LG Private RoomFamily Friendly;59;1;60;3;0
Spacious Quiet rm  20mins to Midtown;126;1;75;2;222
3 BR Beautiful Brooklyn Duplex;61;2;350;5;0
Spacious modern studio apartment in Manhattan;97;2;205;9;76
Gorgeous Duplex  Garden;85;2;219;5;0
CBG 4Tiny room w huge windowAC;85;1;60;1;258
Charming upper west side apartment;125;2;185;2;14
Lightfilled East Village Delight;101;2;190;3;27
Sunny quiet legal homelike suitePk Slope South;91;2;105;28;167
Spacious Duplex in Brownstone;100;2;250;2;68
Lovely Vintage HavenHeart of UWS;125;2;175;65;358
Modern Space in Charming Prewar;106;1;65;2;59
Warehouse Loft with Garden view;51;2;75;2;0
 Affordable  Cozy ;42;1;37;4;232
Creative Vintage Loft in S Williamsburg;94;2;85;2;15
Very close to Downtown Awesome Private Apartment;78;2;106;7;0
The Happy home;100;2;79;2;0
Fort Greene Brooklyn Front Bedroom;75;1;85;2;161
Gorgeous 1 bdrm in huge duplex;106;1;170;2;88
Sunny cozy room in Lower East Side;111;1;115;3;337
Large Quiet Bedroom Near Columbia U;106;1;89;5;247
Cozy PreWar Harlem Apartment;106;3;49;3;248
spacious studio;79;1;91;3;287
Elegant 2BR duplex Union Square;104;2;400;2;304
Cozy private family home in Bushwick;59;2;150;2;0
Luxury 2Bed25Bath Central Park View;125;2;2000;30;0
Cosy Sunny 1brm in Prospect Heights;66;2;97;3;193
East Village bedroom w rooftop;101;1;100;4;43
Williamsburg Home Away From Home;94;2;179;4;25
Brand New Beautiful Duplex Apartment with Garden;79;2;500;2;127
PRIME Luxury Spacious 2 Bedroom Apt in Chelsea;97;2;429;10;0
SPACIOUS ALCOVE STUDIO JUNIOR ONE;109;2;189;6;303
Highend doorman bldg in the LES;111;1;120;2;345
Spring  Mulberry 2 Bedroom Apartment;117;2;300;1;115
Ultra Modern NYC Garden Apartment;129;2;107;30;200
Modern Garden Apartment in NYC;129;2;95;30;271
Gorgeous Entire Manhattan Townhouse;106;2;199;2;12
